DISTRICT_N,REGION,NEW
73901,12,12
73901,12,12
73901,12,12
18908,12,12
18908,12,12
18908,12,12
50909,12,12
50909,12,12
50909,12,12
50901,12,12
50901,12,12
50901,12,12
97903,12,12
97903,12,12
97903,12,12
97902,12,12
97902,12,12
97902,12,12
141902,12,12
141902,12,12
141902,12,12
18906,12,12
18906,12,12
18906,12,12
161914,12,12
161914,12,12
161914,12,12
161903,12,12
161903,12,12
161903,12,12
161909,12,12
161909,12,12
161909,12,12
161924,12,12
161924,12,12
161924,12,12
161923,12,12
161923,12,12
161923,12,12
50904,12,12
50904,12,12
50904,12,12
161901,12,12
161901,12,12
161901,12,12
175911,12,12
175911,12,12
175911,12,12
175910,12,12
175910,12,12
175910,12,12
175907,12,12
175907,12,12
175907,12,12
167904,12,12
167904,12,12
167904,12,12
167902,12,12
167902,12,12
81906,12,12
81906,12,12
81906,12,12
81905,12,12
81905,12,12
81905,12,12
81904,12,12
81904,12,12
81904,12,12
147903,12,12
147903,12,12
147903,12,12
81902,12,12
81902,12,12
81902,12,12
175903,12,12
175903,12,12
175903,12,12
73904,12,12
73904,12,12
73904,12,12
161922,12,12
161922,12,12
161922,12,12
161912,12,12
161912,12,12
161912,12,12
161908,12,12
161908,12,12
161908,12,12
73903,12,12
73903,12,12
73903,12,12
161907,12,12
161907,12,12
161907,12,12
147902,12,12
147902,12,12
147902,12,12
14909,12,12
14909,12,12
14909,12,12
14908,12,12
14908,12,12
14908,12,12
14907,12,12
14907,12,12
14907,12,12
14905,12,12
14905,12,12
14905,12,12
14903,12,12
14903,12,12
14903,12,12
14901,12,12
14901,12,12
14901,12,12
14902,12,12
14902,12,12
14902,12,12
14910,12,12
14910,12,12
14910,12,12
73905,12,12
73905,12,12
73905,12,12
161919,12,12
161919,12,12
161919,12,12
161910,12,12
161910,12,12
161910,12,12
141901,12,12
141901,12,12
141901,12,12
14906,12,12
14906,12,12
14906,12,12
50902,12,12
50902,12,12
50902,12,12
50910,12,12
50910,12,12
50910,12,12
18905,12,12
18905,12,12
18905,12,12
167901,12,12
167901,12,12
167901,12,12
161920,12,12
161920,12,12
161920,12,12
18904,12,12
18904,12,12
18904,12,12
175902,12,12
175902,12,12
175902,12,12
175905,12,12
175905,12,12
175905,12,12
109907,12,12
109907,12,12
109907,12,12
109903,12,12
109903,12,12
109903,12,12
109911,12,12
109911,12,12
109911,12,12
109913,12,12
109913,12,12
109913,12,12
18903,12,12
18903,12,12
18903,12,12
18902,12,12
18902,12,12
18902,12,12
18901,12,12
18901,12,12
18901,12,12
18907,12,12
18907,12,12
18907,12,12
175904,12,12
175904,12,12
175904,12,12
109908,12,12
109908,12,12
109908,12,12
147901,12,12
147901,12,12
147901,12,12
109905,12,12
109905,12,12
109905,12,12
109902,12,12
109902,12,12
109902,12,12
109904,12,12
109904,12,12
109904,12,12
161916,12,12
161916,12,12
161916,12,12
109910,12,12
109910,12,12
109910,12,12
161918,12,12
161918,12,12
161918,12,12
161906,12,12
161906,12,12
161906,12,12
161921,12,12
161921,12,12
161921,12,12
109914,12,12
109914,12,12
109914,12,12
109912,12,12
109912,12,12
109912,12,12
109901,12,12
109901,12,12
109901,12,12
161925,12,12
161925,12,12
161925,12,12
198901,6,6
198901,6,6
198901,6,6
228905,6,6
228905,6,6
228905,6,6
228903,6,6
228903,6,6
228903,6,6
113906,6,6
113906,6,6
113906,6,6
113903,6,6
113903,6,6
113903,6,6
113905,6,6
113905,6,6
113905,6,6
113902,6,6
113902,6,6
113902,6,6
113901,6,6
113901,6,6
113901,6,6
154903,6,6
154903,6,6
154903,6,6
145906,6,6
145906,6,6
145906,6,6
145902,6,6
145902,6,6
145902,6,6
166904,6,6
166904,6,6
166904,6,6
166903,6,6
166903,6,6
166903,6,6
166902,6,6
166902,6,6
166902,6,6
166901,6,6
166901,6,6
166901,6,6
166907,6,6
166907,6,6
166907,6,6
236901,6,6
236901,6,6
236901,6,6
236902,6,6
236902,6,6
236902,6,6
170904,6,6
170904,6,6
170904,6,6
170907,6,6
170907,6,6
170907,6,6
170903,6,6
170903,6,6
170903,6,6
93905,6,6
93905,6,6
93905,6,6
145907,6,6
145907,6,6
145907,6,6
145901,6,6
145901,6,6
145901,6,6
93903,6,6
93903,6,6
93903,6,6
93901,6,6
93901,6,6
93901,6,6
154901,6,6
154901,6,6
154901,6,6
198906,6,6
198906,6,6
198906,6,6
198905,6,6
198905,6,6
198905,6,6
198903,6,6
198903,6,6
198903,6,6
198902,6,6
198902,6,6
198902,6,6
145911,6,6
145911,6,6
145911,6,6
239903,6,6
239903,6,6
239903,6,6
8901,6,6
8901,6,6
8901,6,6
26903,6,6
26903,6,6
26903,6,6
26902,6,6
26902,6,6
26902,6,6
26901,6,6
26901,6,6
26901,6,6
21902,6,6
21902,6,6
21902,6,6
21901,6,6
21901,6,6
21901,6,6
239901,6,6
239901,6,6
239901,6,6
93904,6,6
93904,6,6
93904,6,6
170908,6,6
170908,6,6
170908,6,6
170906,6,6
170906,6,6
170906,6,6
170902,6,6
170902,6,6
170902,6,6
8903,6,6
8903,6,6
8903,6,6
8902,6,6
8902,6,6
8902,6,6
187910,6,6
187910,6,6
187910,6,6
187903,6,6
187903,6,6
187903,6,6
187901,6,6
187901,6,6
204904,6,6
204904,6,6
204904,6,6
204901,6,6
204901,6,6
204901,6,6
228904,6,6
228904,6,6
228904,6,6
228901,6,6
228901,6,6
228901,6,6
187907,6,6
187907,6,6
187907,6,6
187906,6,6
187906,6,6
187904,6,6
187904,6,6
187904,6,6
63906,17,17
63906,17,17
63903,17,17
63903,17,17
140907,17,17
140907,17,17
85902,17,17
85902,17,17
153904,17,17
153904,17,17
153903,17,17
153903,17,17
58902,17,17
58902,17,17
58906,17,17
58906,17,17
58905,17,17
58905,17,17
223902,17,17
223902,17,17
223904,17,17
223904,17,17
83902,17,17
83902,17,17
132902,17,17
132902,17,17
17901,17,17
17901,17,17
58909,17,17
58909,17,17
95905,17,17
95905,17,17
173901,17,17
173901,17,17
77902,17,17
77902,17,17
77901,17,17
77901,17,17
140904,17,17
140904,17,17
140901,17,17
140901,17,17
83903,17,17
83903,17,17
135001,17,17
135001,17,17
54903,17,17
54903,17,17
54901,17,17
54901,17,17
40902,17,17
40902,17,17
40901,17,17
40901,17,17
251902,17,17
251902,17,17
251901,17,17
251901,17,17
223901,17,17
223901,17,17
83901,17,17
83901,17,17
9901,17,17
9901,17,17
140908,17,17
140908,17,17
110908,17,17
110908,17,17
110907,17,17
110907,17,17
110902,17,17
110902,17,17
51901,17,17
51901,17,17
140905,17,17
140905,17,17
95903,17,17
95903,17,17
95902,17,17
95902,17,17
110901,17,17
110901,17,17
110905,17,17
110905,17,17
110906,17,17
110906,17,17
95901,17,17
95901,17,17
95904,17,17
95904,17,17
153905,17,17
153905,17,17
152909,17,17
152909,17,17
152902,17,17
152902,17,17
152907,17,17
152907,17,17
152901,17,17
152901,17,17
152910,17,17
152910,17,17
152903,17,17
152903,17,17
153907,17,17
153907,17,17
85903,17,17
85903,17,17
152908,17,17
152908,17,17
54902,17,17
54902,17,17
152906,17,17
152906,17,17
96904,16,16
96904,16,16
23902,16,16
23902,16,16
35903,16,16
35903,16,16
35902,16,16
35902,16,16
35901,16,16
35901,16,16
33902,16,16
33902,16,16
117903,16,16
117903,16,16
98903,16,16
98903,16,16
117904,16,16
117904,16,16
117907,16,16
117907,16,16
117901,16,16
117901,16,16
98904,16,16
98904,16,16
44902,16,16
44902,16,16
171902,16,16
171902,16,16
171901,16,16
171901,16,16
106901,16,16
106901,16,16
148901,16,16
148901,16,16
103902,16,16
103902,16,16
103901,16,16
103901,16,16
56901,16,16
56901,16,16
65902,16,16
65902,16,16
96905,16,16
96905,16,16
180904,16,16
180904,16,16
191901,16,16
191901,16,16
56902,16,16
56902,16,16
242905,16,16
242905,16,16
242902,16,16
242902,16,16
180901,16,16
180901,16,16
180902,16,16
180902,16,16
180903,16,16
180903,16,16
59902,16,16
59902,16,16
219903,16,16
219903,16,16
219905,16,16
219905,16,16
185904,16,16
185904,16,16
59901,16,16
59901,16,16
185903,16,16
185903,16,16
185901,16,16
185901,16,16
33904,16,16
33904,16,16
242903,16,16
242903,16,16
90904,16,16
90904,16,16
197902,16,16
197902,16,16
90902,16,16
90902,16,16
90905,16,16
90905,16,16
242906,16,16
242906,16,16
90903,16,16
90903,16,16
38901,16,16
38901,16,16
148903,16,16
148903,16,16
148902,16,16
148902,16,16
148905,16,16
148905,16,16
211901,16,16
211901,16,16
98901,16,16
98901,16,16
188904,16,16
188904,16,16
188902,16,16
188902,16,16
188903,16,16
188903,16,16
188901,16,16
188901,16,16
6902,16,16
6902,16,16
33901,16,16
33901,16,16
65901,16,16
65901,16,16
219901,16,16
219901,16,16
185902,16,16
185902,16,16
211902,16,16
211902,16,16
179901,16,16
179901,16,16
91906,10,10
91906,10,10
91914,10,10
91914,10,10
91913,10,10
91913,10,10
70912,10,36
70912,10,36
70912,10,36
70911,10,36
70911,10,36
70911,10,36
70910,10,36
70910,10,36
70910,10,36
70903,10,36
70903,10,36
70903,10,36
91903,10,10
91903,10,10
91901,10,10
91901,10,10
91909,10,10
91909,10,10
91902,10,10
91902,10,10
129910,10,28
129910,10,28
129910,10,28
129904,10,28
129904,10,28
129904,10,28
57913,10,36
57913,10,36
57913,10,36
57911,10,36
57911,10,36
57907,10,36
57907,10,36
57907,10,36
57906,10,36
57906,10,36
57906,10,36
70905,10,36
70905,10,36
70905,10,36
234902,10,28
234902,10,28
129905,10,28
129905,10,28
74911,10,10
74911,10,10
91918,10,10
91918,10,10
91905,10,10
91905,10,10
57916,10,29
57916,10,29
57916,10,29
57914,10,22
57914,10,22
57914,10,22
129901,10,22
129901,10,22
129901,10,22
57919,10,22
57919,10,22
57909,10,29
57909,10,29
57909,10,29
43919,10,10
43919,10,10
43919,10,10
74917,10,10
74917,10,10
74905,10,10
74905,10,10
74904,10,10
74904,10,10
43902,10,10
43902,10,10
43902,10,10
91910,10,10
91910,10,10
91908,10,10
91908,10,10
43908,10,10
43908,10,10
43908,10,10
70907,10,34
70907,10,34
70907,10,34
70901,10,34
70901,10,34
70901,10,34
70909,10,34
70909,10,34
70909,10,34
70915,10,36
70915,10,36
70915,10,36
57912,10,36
57912,10,36
57912,10,36
57905,10,36
57905,10,36
57905,10,36
91907,10,10
91907,10,10
91907,10,10
91917,10,10
91917,10,10
91917,10,10
43903,10,10
43903,10,10
43903,10,10
43901,10,10
43901,10,10
43901,10,10
43907,10,10
43907,10,10
43907,10,10
57922,10,29
57922,10,29
57922,10,29
57903,10,29
57903,10,29
57903,10,29
43910,10,29
43910,10,29
43910,10,29
43912,10,10
43912,10,10
43912,10,10
43905,10,10
43905,10,10
43905,10,10
74907,10,10
74907,10,10
43914,10,29
43914,10,29
43914,10,29
43911,10,10
43911,10,10
43911,10,10
70908,10,36
70908,10,36
70908,10,36
57910,10,36
57910,10,36
57910,10,36
57904,10,36
57904,10,36
57904,10,36
116910,10,22
116910,10,22
116916,10,22
116916,10,22
116906,10,22
116906,10,22
129906,10,22
129906,10,22
129903,10,22
129903,10,22
116908,10,22
116908,10,22
234907,10,22
234907,10,22
129902,10,22
129902,10,22
199902,10,22
199902,10,22
199901,10,22
199901,10,22
74912,10,10
74912,10,10
116903,10,22
116903,10,22
74903,10,10
74903,10,10
116901,10,29
116901,10,29
43904,10,10
43904,10,10
43904,10,10
43918,10,29
43918,10,29
43918,10,29
116902,10,29
116902,10,29
116909,10,29
116909,10,29
74909,10,10
74909,10,10
116905,10,22
116905,10,22
116915,10,29
116915,10,29
43917,10,10
43917,10,10
43917,10,10
72908,11,23
72908,11,23
72908,11,23
72909,11,23
72909,11,23
72909,11,23
72901,11,23
72901,11,23
72901,11,23
72903,11,23
72903,11,23
72903,11,23
182904,11,23
182904,11,23
182904,11,23
72910,11,23
72910,11,23
182901,11,23
182901,11,23
72902,11,23
72902,11,23
72902,11,23
249906,11,33
249906,11,33
249906,11,33
249904,11,11
249904,11,11
249903,11,33
249903,11,33
184901,11,33
184901,11,33
184901,11,33
184908,11,23
184908,11,23
184908,11,23
184911,11,23
184911,11,23
184911,11,23
182905,11,23
182905,11,23
182906,11,23
182906,11,23
182903,11,23
182903,11,23
182903,11,23
184904,11,23
184904,11,23
184904,11,23
182902,11,23
182902,11,23
49908,11,11
49908,11,11
49909,11,11
49909,11,11
49902,11,11
49902,11,11
49907,11,11
49907,11,11
49901,11,11
49901,11,11
72904,11,23
72904,11,23
111902,11,23
111902,11,23
111902,11,23
184909,11,23
184909,11,23
184909,11,23
111903,11,23
111903,11,23
111903,11,23
213901,11,23
213901,11,23
213901,11,23
126907,11,31
126907,11,31
126907,11,31
49905,11,11
49905,11,11
249901,11,11
249901,11,11
220919,11,33
220919,11,33
220919,11,33
220906,11,33
220906,11,33
220906,11,33
61912,11,11
61912,11,11
61912,11,11
61910,11,11
61910,11,11
61910,11,11
61907,11,11
61907,11,11
61907,11,11
61914,11,11
61914,11,11
61914,11,11
61902,11,33
61902,11,33
61902,11,33
61908,11,11
61908,11,11
61908,11,11
249908,11,11
249908,11,11
249908,11,11
49903,11,11
49903,11,11
49903,11,11
49906,11,11
49906,11,11
49906,11,11
61903,11,11
61903,11,11
61903,11,11
61906,11,11
61906,11,11
61906,11,11
249905,11,11
249905,11,11
249905,11,11
61905,11,11
61905,11,11
61905,11,11
61901,11,11
61901,11,11
61901,11,11
111901,11,23
111901,11,23
111901,11,23
249902,11,33
249902,11,33
249902,11,33
184902,11,33
184902,11,33
184902,11,33
184903,11,23
184903,11,23
184903,11,23
220907,11,33
220907,11,33
220907,11,33
61911,11,11
61911,11,11
61911,11,11
220920,11,23
220920,11,23
220920,11,23
220910,11,23
220910,11,23
220910,11,23
220916,11,31
220916,11,31
220916,11,31
220918,11,33
220918,11,33
220918,11,33
220917,11,23
220917,11,23
220917,11,23
220902,11,33
220902,11,33
220902,11,33
220915,11,33
220915,11,33
220915,11,33
184907,11,23
184907,11,23
184907,11,23
220912,11,23
220912,11,23
220912,11,23
220905,11,23
220905,11,23
220905,11,23
126911,11,23
126911,11,23
126911,11,23
126903,11,31
126903,11,31
126903,11,31
126906,11,31
126906,11,31
126906,11,31
126905,11,31
126905,11,31
126905,11,31
126904,11,31
126904,11,31
126904,11,31
220908,11,31
220908,11,31
220908,11,31
220914,11,31
220914,11,31
220914,11,31
220904,11,31
220904,11,31
220904,11,31
220901,11,31
220901,11,31
220901,11,31
126908,11,31
126908,11,31
126908,11,31
126902,11,31
126902,11,31
126902,11,31
126901,11,31
126901,11,31
126901,11,31
121906,5,5
121906,5,5
121903,5,5
121903,5,5
84903,5,4
84903,5,4
84903,5,4
100904,5,5
100904,5,5
176903,5,5
176903,5,5
181906,5,5
181906,5,5
181905,5,5
181905,5,5
181905,5,5
181908,5,5
181908,5,5
181901,5,5
181901,5,5
181901,5,5
181907,5,5
181907,5,5
181907,5,5
123913,5,5
123913,5,5
123913,5,5
123908,5,5
123908,5,5
123908,5,5
123907,5,5
123907,5,5
123907,5,5
123905,5,5
123905,5,5
123905,5,5
176902,5,5
176902,5,5
176901,5,5
176901,5,5
176901,5,5
121902,5,5
121902,5,5
121902,5,5
100903,5,5
100903,5,5
100907,5,5
100907,5,5
100907,5,5
123914,5,5
123914,5,5
123914,5,5
123910,5,5
123910,5,5
123910,5,5
229904,5,5
229904,5,5
229905,5,5
229905,5,5
121905,5,5
121905,5,5
121904,5,5
121904,5,5
121904,5,5
229906,5,5
229906,5,5
229906,5,5
229901,5,5
229901,5,5
229901,5,5
229903,5,5
229903,5,5
100908,5,5
100908,5,5
100905,5,5
100905,5,5
100905,5,5
137904,2,2
137904,2,2
137904,2,2
137903,2,2
137903,2,2
137902,2,2
137902,2,2
137901,2,2
137901,2,2
178915,2,2
178915,2,2
178909,2,2
178909,2,2
178914,2,2
178914,2,2
178905,2,2
178905,2,2
178903,2,2
178903,2,2
178902,2,2
178902,2,2
178913,2,2
178913,2,2
178901,2,2
178901,2,2
125903,2,2
125903,2,2
125903,2,2
125906,2,2
125906,2,2
125906,2,2
125902,2,2
125902,2,2
125902,2,2
125901,2,2
125901,2,2
125901,2,2
178908,2,2
178908,2,2
13902,2,2
13902,2,2
13902,2,2
149902,2,2
149902,2,2
149902,2,2
13905,2,2
13905,2,2
13905,2,2
13903,2,2
13903,2,2
13903,2,2
205904,2,2
205904,2,2
205904,2,2
13901,2,2
13901,2,2
13901,2,2
149901,2,2
149901,2,2
149901,2,2
178906,2,2
178906,2,2
66005,2,2
66005,2,2
66005,2,2
66902,2,2
66902,2,2
66902,2,2
125905,2,2
125905,2,2
125905,2,2
66903,2,2
66903,2,2
66903,2,2
162904,2,2
162904,2,2
162904,2,2
66901,2,2
66901,2,2
66901,2,2
24901,2,2
24901,2,2
24901,2,2
131001,2,2
131001,2,2
131001,2,2
205903,2,2
205903,2,2
205901,2,2
205901,2,2
4901,2,2
4901,2,2
205907,2,2
205907,2,2
205906,2,2
205906,2,2
205905,2,2
205905,2,2
205902,2,2
205902,2,2
178912,2,2
178912,2,2
178904,2,2
178904,2,2
230903,7,7
230903,7,7
230903,7,7
210903,7,7
210903,7,7
210903,7,7
201904,7,7
201904,7,7
201904,7,7
201908,7,7
201908,7,7
201908,7,7
201907,7,7
201907,7,7
201907,7,7
201903,7,7
201903,7,7
201903,7,7
201902,7,7
201902,7,7
201902,7,7
174903,7,7
174903,7,7
174903,7,7
174902,7,7
174902,7,7
174902,7,7
92902,7,7
92902,7,7
92902,7,7
201910,7,7
201910,7,7
201910,7,7
37907,7,7
37907,7,7
37907,7,7
102903,7,7
102903,7,7
102903,7,7
230906,7,7
230906,7,7
230906,7,7
102902,7,7
102902,7,7
102902,7,7
102901,7,7
102901,7,7
102901,7,7
102905,7,7
102905,7,7
102905,7,7
102904,7,7
102904,7,7
102904,7,7
102906,7,7
102906,7,7
102906,7,7
250907,7,7
250907,7,7
250907,7,7
174906,7,7
