School District,Total,Anglo,Black,Hisp,B+H,Other
Fruitvale ISD,1675,1476,16,159,175,24
,398,326,12,54,66,6
Gainesville ISD,18333,11951,1181,4734,5858,524
,5079,2393,490,2081,2536,150
Galena Park ISD,83902,11922,16013,54789,70077,1903
,26995,1740,4710,20540,24862,393
Galveston ISD,50606,23855,9580,15307,24487,2264
,9630,2625,2443,4395,6619,386
Ganado ISD,3217,1990,71,1136,1199,28
,793,362,19,406,421,10
Garland ISD,276437,115069,41820,92963,133247,28121
,79774,22334,14630,36228,49964,7476
Garner ISD,3667,2158,754,724,1475,34
,382,342,4,31,34,6
Garrison ISD,3138,2296,607,209,811,31
,737,486,151,94,241,10
Gary ISD,1856,1693,39,108,146,17
,439,382,7,48,55,2
Gatesville ISD,22838,15854,3342,3306,6595,389
,3792,2817,201,728,904,71
Gause ISD,851,646,116,79,193,12
,217,143,33,41,73,1
George West ISD,6550,4203,56,2215,2253,94
,1415,741,24,631,649,25
Georgetown ISD,63164,45814,2400,13844,15958,1392
,15013,8777,798,5202,5837,399
Gholson ISD,1342,1100,73,156,224,18
,316,225,19,72,89,2
Giddings ISD,10077,5664,1208,3131,4305,108
,2816,1104,367,1340,1677,35
Gilmer ISD,15555,12512,1712,1053,2741,302
,3715,2725,499,426,910,80
Gladewater ISD,11888,9097,1750,845,2562,229
,3048,2026,643,353,968,54
Glasscock County ISD,1226,825,17,378,395,6
,352,212,7,132,139,1
Glen Rose ISD,8417,6533,81,1619,1688,196
,2231,1473,51,639,684,74
Godley ISD,7055,5849,121,956,1065,141
,2098,1634,38,392,426,38
Gold-Burg ISD,728,647,2,60,61,20
,153,124,1,22,23,6
Goldthwaite Cons ISD,3597,2806,33,707,740,51
,884,600,26,246,272,12
Goliad ISD,7210,4337,385,2462,2794,79
,1648,765,123,778,867,16
Gonzales ISD,13028,6209,1238,5558,6673,146
,3520,1134,377,2035,2339,47
Goodrich ISD,2150,1520,283,330,611,19
,449,266,56,125,180,3
Goose Creek Consolidated ISD,98787,41373,15767,39971,55062,2352
,29056,8320,5163,15331,20125,611
Gordon ISD,1157,1029,3,102,103,25
,258,211,2,40,40,7
Gorman ISD,1843,1395,6,425,430,18
,390,225,2,161,163,2
Grady ISD,555,370,9,170,179,6
,171,105,4,61,65,1
Graford ISD,2323,2145,9,131,136,42
,455,388,3,48,49,18
Graham ISD,13562,10975,195,2226,2395,192
,3261,2288,73,860,919,54
Granbury ISD,48229,41811,380,5100,5435,983
,10142,7855,164,1912,2057,230
Grand Prairie ISD,121843,34538,20344,61208,80476,6829
,38500,6167,7241,23862,30455,1878
Grand Saline ISD,6744,5696,73,884,947,101
,1643,1226,47,351,391,26
Grandfalls-Royalty ISD,528,282,11,224,235,11
,137,55,5,74,79,3
Grandview ISD,4677,3946,118,554,667,64
,1294,1007,41,226,265,22
Grandview-Hopkins ISD,111,108,3,0,3,0
,18,18,0,0,0,0
Granger ISD,2537,1786,133,605,723,28
,526,277,26,227,245,4
Grape Creek ISD,5842,4143,78,1549,1599,100
,1492,900,44,542,572,20
Grapeland ISD,4089,3177,749,126,870,42
,888,628,194,55,247,13
Grapevine-Colleyville ISD,74315,54952,3013,10481,13322,6041
,18778,12291,967,3653,4536,1951
Greenville ISD,30881,19238,4714,6288,10847,796
,7984,3875,1437,2538,3873,236
Greenwood ISD,7214,5095,60,1979,2017,102
,2176,1362,30,771,787,27
Gregory-Portland ISD,18384,9939,348,7696,7993,452
,5199,2372,137,2585,2694,133
Groesbeck ISD,9644,7214,1088,1251,2292,138
,2007,1305,275,429,674,28
Groom ISD,743,671,7,48,55,17
,156,129,5,18,23,4
Groveton ISD,5166,4459,334,305,639,68
,1032,829,82,99,181,22
Gruver ISD,1767,1077,22,662,684,6
,528,276,7,244,251,1
Gunter ISD,2955,2364,27,505,532,59
,843,615,8,199,207,21
Gustine ISD,1227,778,14,434,439,10
,342,142,9,192,196,4
Guthrie CSD,274,237,0,32,32,5
,64,52,0,11,11,1
Hale Center ISD,2869,1088,127,1647,1760,21
,854,194,52,613,656,4
Hallettsville ISD,6840,5497,633,672,1276,67
,1431,1004,196,236,411,16
Hallsburg ISD,1063,908,63,83,142,13
,231,190,13,22,35,6
Hallsville ISD,19354,16407,1309,1295,2578,369
,5398,4294,416,588,986,118
Hamilton ISD,5384,4841,33,435,466,77
,1097,899,11,167,178,20
Hamlin ISD,2499,1622,217,660,855,22
,646,361,62,233,281,4
Hamshire-Fannett ISD,9116,7636,530,814,1338,142
,2266,1759,151,327,472,35
Happy ISD,1073,873,11,178,187,13
,293,219,4,65,68,6
Hardin ISD,6874,5978,254,549,795,101
,1709,1390,78,219,291,28
Hardin-Jefferson ISD,12064,9979,1119,803,1909,176
,2770,2160,286,293,575,35
Harlandale ISD,61015,4953,685,55469,55709,353
,17529,745,300,16661,16729,55
Harleton ISD,3055,2706,236,85,321,28
,816,710,59,43,102,4
Harlingen Cons ISD,83646,15702,918,66112,66695,1249
,25260,2286,376,22465,22630,344
Harmony ISD,6346,5704,63,511,571,71
,1251,1003,16,210,226,22
Harper ISD,3595,3208,14,327,334,53
,681,547,4,124,125,9
Harrold ISD,129,113,4,6,10,6
,25,19,2,2,4,2
Hart ISD,1496,401,40,1054,1087,8
,459,74,19,370,383,2
Hartley ISD,877,506,4,358,362,9
,314,157,0,153,153,4
Harts Bluff ISD,3032,1976,71,926,981,75
,887,430,25,409,426,31
Haskell Cons ISD,4356,2966,220,1104,1303,87
,935,509,67,356,406,20
Hawkins ISD,5446,4224,909,230,1129,93
,1036,808,136,70,205,23
Hawley ISD,3140,2762,31,299,325,53
,798,649,17,125,138,11
Hays Cons ISD,67891,31509,3216,32231,34948,1434
,21717,7809,1239,12546,13485,423
Hearne ISD,7038,2663,2261,2143,4305,70
,1955,474,727,802,1463,18
Hedley ISD,584,525,2,51,53,6
,131,110,0,21,21,0
Hemphill ISD,7636,6680,585,237,821,135
,1281,1017,153,83,235,29
Hempstead ISD,9014,3389,2625,2939,5480,145
,2431,564,745,1136,1832,35
Henderson ISD,23550,14490,5265,3530,8740,320
,4960,2659,1069,1169,2214,87
Henrietta ISD,5658,5249,37,223,257,152
,1273,1126,15,91,104,43
Hereford ISD,19135,5724,296,13024,13219,192
,6186,1132,118,4954,5007,47
Hermleigh ISD,751,555,15,173,186,10
,186,118,4,63,66,2
Hico ISD,3219,2734,29,428,448,37
,751,568,16,167,176,7
Hidalgo ISD,8049,178,43,7854,7862,9
,2844,26,25,2812,2816,2
Higgins ISD,549,497,1,38,39,13
,106,91,1,11,12,3
High Island ISD,537,477,5,43,48,12
,88,73,0,14,14,1
Highland ISD,362,329,0,33,33,0
,91,83,0,8,8,0
Highland Park ISD (Dallas),32945,29989,344,1329,1643,1313
,9684,8707,74,447,506,471
Highland Park ISD (Potter),8463,3866,2135,2369,4493,104
,988,632,49,293,338,18
Hillsboro ISD,10634,5581,1373,3603,4933,120
,2740,934,414,1399,1785,21
Hitchcock ISD,8582,4026,2678,1837,4446,110
,2168,715,815,664,1432,21
Holland ISD,2406,1867,65,466,512,27
,649,421,29,199,217,11
Holliday ISD,4553,4261,38,196,229,63
,1048,947,21,70,88,13
Hondo ISD,12669,5072,760,6681,7369,228
,2920,963,73,1881,1922,35
Honey Grove ISD,3402,2757,315,275,588,57
,784,560,98,114,210,14
Hooks ISD,4559,3462,777,248,1006,91
,1182,830,233,105,330,22
Houston ISD,1364357,343738,355164,596203,940426,80193
,336161,44762,88022,193288,276749,14650
Howe ISD,4905,4184,84,491,574,147
,1363,1054,50,211,260,49
Hubbard ISD (Bowie),559,506,16,18,34,19
,127,112,6,4,10,5
Hubbard ISD (Hill),1960,1528,258,149,404,28
,443,288,77,73,148,7
Huckabay ISD,1399,1177,1,179,180,42
,304,236,1,57,58,10
Hudson ISD,11571,8653,847,1912,2727,191
,3448,2310,340,767,1085,53
Huffman ISD,14985,12365,433,1859,2272,348
,4125,3186,147,708,843,96
Hughes Springs ISD,4761,3767,751,197,936,58
,1230,877,257,88,337,16
Hull-Daisetta ISD,3079,2277,569,194,749,53
,747,537,127,77,203,7
Humble ISD,167608,96383,26706,37838,63548,7677
,48678,24026,8864,14037,22378,2274
Hunt ISD,1691,1489,2,179,181,21
,260,195,1,59,60,5
Huntington ISD,8283,7615,252,336,576,92
,2151,1901,86,148,225,25
Huntsville ISD,62255,35422,14909,10967,25636,1197
,9860,4559,2571,2606,5072,229
Hurst-Euless-Bedford ISD,137578,84905,16137,24118,39495,13178
,31537,14791,5204,8437,13271,3475
Hutto ISD,22663,12503,3111,6626,9537,623
,7843,3622,1257,2859,3984,237
Idalou ISD,3852,2267,56,1510,1555,30
,1071,544,27,503,520,7
Industrial ISD,4153,3198,79,861,918,37
,1156,805,42,322,347,4
Ingleside ISD,10056,5552,250,3953,4171,333
,2979,1307,110,1488,1577,95
Ingram ISD,8275,6371,102,1664,1741,163
,1708,999,60,621,665,44
Iola ISD,2518,2157,48,276,317,44
,624,471,29,116,141,12
Iowa Park Cons ISD,13494,10020,1464,1751,3193,281
,2318,1988,39,231,260,70
Ira ISD,579,469,5,104,108,2
,141,98,2,40,42,1
Iraan-Sheffield ISD,1642,789,58,807,832,21
,469,162,28,296,303,4
Iredell ISD,952,827,1,102,103,22
,186,133,0,50,50,3
Irion County ISD,1599,1153,12,407,419,27
,368,232,6,124,130,6
Irving ISD,170884,51253,21886,85796,106357,13274
,47437,7163,6639,31429,37423,2851
Italy ISD,2849,1766,499,541,1032,51
,764,403,146,207,348,13
Itasca ISD,3635,2426,354,833,1165,44
,1046,597,133,315,434,15
Jacksboro ISD,6532,5028,355,1089,1434,70
,1351,988,32,326,356,7
Jacksonville ISD,25684,14027,4350,7054,11289,368
,7050,2563,1359,3105,4391,96
Jarrell ISD,8265,6396,178,1573,1733,136
,1486,791,67,606,665,30
Jasper ISD,16714,10015,5000,1431,6393,306
,4214,2019,1587,533,2098,97
Jayton-Girard ISD,770,637,10,117,123,10
,175,119,5,50,53,3
Jefferson ISD,9713,6914,2298,284,2576,223
,1835,1117,559,111,668,50
Jim Hogg County ISD,5300,334,31,4907,4928,38
,1538,51,12,1463,1470,17
Jim Ned Cons ISD,5629,5086,46,412,454,89
,1367,1173,20,153,170,24
Joaquin ISD,3533,3041,201,250,451,41
,904,736,58,103,161,7
Johnson City ISD,5434,4537,55,766,810,87
,1164,861,33,262,288,15
Jonesboro ISD,1158,1058,12,69,81,19
,278,237,6,31,37,4
Joshua ISD,23803,19653,357,3285,3617,533
,6612,4975,147,1347,1480,157
Jourdanton ISD,6218,2970,63,3156,3196,52
,1682,606,35,1046,1064,12
Judson ISD,113986,36323,27071,48020,72717,4946
,34175,6912,9790,17703,26061,1202
Junction ISD,4279,3175,19,1029,1048,56
,889,520,7,358,365,4
Karnack ISD,2510,1567,785,130,903,40
,443,218,171,53,216,9
Karnes City ISD,4642,2094,163,2389,2532,16
,1077,370,56,660,705,2
Katy ISD,256972,135559,23917,69391,91803,29610
,80405,36650,8851,25750,33823,9932
Kaufman ISD,17203,11545,1109,4288,5339,319
,4808,2601,346,1809,2118,89
Keene ISD,5004,2684,362,1507,1824,496
,1289,571,89,467,542,176
Keller ISD,150895,107353,9986,21674,31041,12501
,48514,31703,3935,8836,12434,4377
Kelton ISD,155,133,0,22,22,0
,44,33,0,11,11,0
Kemp ISD,9450,8254,273,765,1023,173
,2156,1747,74,298,365,44
Kenedy County-Wide CSD,413,85,8,317,319,9
,102,18,4,78,79,5
Kenedy ISD,7058,1918,1218,3865,5058,82
,1084,201,25,844,859,24
Kennard ISD,2240,1775,381,46,425,40
,463,333,103,18,120,10
Kennedale ISD,17859,11784,2493,2615,5037,1038
,4829,2732,861,958,1782,315
Kerens ISD,3652,2349,796,479,1266,37
,865,418,235,214,441,6
Kermit ISD,6108,2327,174,3542,3672,109
,1803,458,71,1262,1305,40
Kerrville ISD,33300,23563,937,8273,9049,688
,6536,3410,290,2803,2994,132
Kilgore ISD,21202,14174,3122,3527,6568,460
,5318,2955,870,1426,2251,112
Killeen ISD,195451,81306,62670,42151,100080,14065
,61053,20092,23331,16307,37010,3951
Kingsville ISD,26603,5677,1341,18927,20055,871
,6568,862,365,5352,5587,119
Kirbyville Cons ISD,7872,6454,1001,303,1299,119
,1900,1451,280,126,404,45
Klein ISD,217569,112285,29018,56461,84307,20977
,63706,27379,9695,21101,30169,6158
Klondike ISD,719,477,4,233,237,5
,231,132,1,98,99,0
Knippa ISD,931,435,2,492,493,3
,254,83,0,171,171,0
Knox City-O'Brien Cons ISD,1557,1007,100,435,527,23
,374,200,36,138,169,5
Kopperl ISD,1877,1743,5,98,102,32
,336,294,2,32,34,8
Kountze ISD,7711,6623,690,300,983,105
,1925,1583,213,104,316,26
Kress ISD,1256,619,55,580,631,6
,311,101,19,193,210,0
Krum ISD,8069,6540,123,1232,1343,186
,2308,1735,47,481,520,53
La Feria ISD,15131,2497,77,12502,12530,104
,4791,348,37,4409,4424,19
La Gloria ISD,285,56,1,227,227,2
,65,10,1,55,55,0
La Grange ISD,11989,8574,943,2358,3269,146
,2718,1517,319,873,1167,34
La Joya ISD,93891,5515,159,88160,88198,178
,36681,1054,84,35576,35590,37
La Porte ISD,41389,25802,2574,12089,14482,1105
,11547,5931,893,4513,5314,302
La Pryor ISD,1913,239,29,1653,1661,13
,641,54,13,582,584,3
La Vega ISD,13273,5734,2803,4610,7324,215
,3659,1037,806,1823,2569,53
La Vernia ISD,14066,10774,274,2751,3009,283
,3894,2745,93,991,1074,75
La Villa ISD,3270,84,28,3171,3183,3
,842,16,12,821,826,0
Lackland ISD,11714,7864,1983,1122,3036,814
,976,502,219,232,415,59
Lago Vista ISD,8457,7158,103,1001,1096,203
,1673,1268,34,325,358,47
Lake Dallas ISD,20991,15583,1350,3222,4527,881
,5988,3968,520,1264,1755,265
Lake Travis ISD,36350,29954,464,4299,4727,1669
,9175,6885,184,1563,1732,558
Lake Worth ISD,15761,7740,1417,6285,7607,414
,4827,1575,634,2562,3137,115
Lamar Cons ISD,123773,50497,20783,44002,63870,9406
,36108,11401,7127,15449,22062,2645
Lamesa ISD,12585,4689,969,6874,7776,120
,3027,743,192,2106,2256,28
Lampasas ISD,19250,14721,788,3140,3842,687
,4718,3189,253,1127,1335,194
Lancaster ISD,36347,4904,26043,5381,31148,295
,11306,610,8651,2155,10629,67
Laneville ISD,1505,928,448,105,553,24
,339,190,104,37,141,8
LaPoynor ISD,2618,2185,288,110,396,37
,636,481,89,59,147,8
Laredo ISD,92261,1963,419,89834,89929,369
,30946,494,169,30333,30359,93
Lasara ISD,1408,100,16,1305,1307,1
,460,21,7,439,439,0
Latexo ISD,2307,2014,111,154,262,31
,502,392,43,63,103,7
Lazbuddie ISD,685,442,10,240,242,1
,208,112,4,96,96,0
Leakey ISD,2138,1613,18,460,477,48
,413,240,15,150,164,9
Leander ISD,146419,105049,6500,25087,31030,10340
,45768,29966,2560,10001,12223,3579
Leary ISD,979,827,67,55,122,30
,234,179,22,26,48,7
Lefors ISD,621,573,5,32,35,13
,140,121,2,17,18,1
Leggett ISD,1272,833,271,151,406,33
,321,185,80,52,121,15
Leon ISD,4337,3286,174,818,988,63
,1039,672,38,314,352,15
Leonard ISD,3701,3114,153,330,477,110
,975,745,60,137,191,39
Levelland ISD,16422,7918,801,7552,8295,209
,4397,1473,235,2681,2874,50
Leveretts Chapel ISD,921,589,168,148,311,21
,273,149,56,65,119,5
Lewisville ISD,267972,167730,22845,47358,69186,31056
,75246,40950,7417,17698,24522,9774
Lexington ISD,5604,4614,445,474,906,84
,1352,1030,127,182,298,24
Liberty Hill ISD,11326,9440,163,1492,1641,245
,3348,2590,76,611,679,79
Liberty ISD,11256,6772,2195,2127,4293,191
,2866,1459,559,824,1370,37
Liberty-Eylau ISD,14674,8793,4560,1092,5589,292
,3394,1784,1322,242,1544,66
Lindale ISD,19277,16234,1336,1348,2656,387
,5000,3836,464,587,1034,130
Linden-Kildare Cons ISD,5700,4236,1120,269,1378,86
,1221,831,261,113,370,20
Lindsay ISD,1937,1780,18,100,114,43
,569,507,6,45,51,11
Lingleville ISD,1289,916,6,356,362,11
,364,208,4,147,151,5
Lipan ISD,1943,1776,15,116,131,36
,424,360,9,44,53,11
Little Cypress-Mauriceville Cons ISD,18873,16310,1135,995,2110,453
,4970,4006,424,404,816,148
Little Elm ISD,28468,15990,3546,7796,11218,1260
,9251,4276,1381,3249,4571,404
Littlefield ISD,7067,2977,457,3633,4033,57
,2040,593,173,1298,1436,11
Livingston ISD,27257,19518,3410,3900,7261,478
,5537,3627,693,1117,1783,127
Llano ISD,16958,15078,158,1471,1604,276
,2846,2189,74,533,587,70
Lockhart ISD,23727,10645,1787,11134,12783,299
,6384,2002,482,3905,4300,82
Lockney ISD,2405,1063,68,1267,1323,19
,709,187,31,494,516,6
Lohn ISD,245,210,0,34,34,1
,35,25,0,10,10,0
Lometa ISD,1578,1119,22,396,417,42
,421,238,16,151,166,17
London ISD,1526,793,26,674,699,34
,491,233,9,234,243,15
Lone Oak ISD,4541,4110,87,237,322,109
,1136,977,35,100,134,25
Longview ISD,56371,27205,17562,10795,28033,1133
,13264,3832,5068,4283,9171,261
Loop ISD,421,255,16,149,163,3
,121,63,6,52,57,1
Loraine ISD,997,582,32,368,396,19
,256,120,15,124,135,1
Lorena ISD,7277,6358,100,689,786,133
,2026,1672,47,265,310,44
Lorenzo ISD,1575,650,77,831,904,21
,478,125,31,321,348,5
Los Fresnos Cons ISD,41312,4151,334,36561,36764,397
,14113,775,97,13217,13251,87
Louise ISD,2414,1640,118,640,753,21
,614,350,31,229,257,7
Lovejoy ISD,12723,11142,311,624,913,668
,3766,3130,119,264,375,261
Lovelady ISD,5452,3302,1400,711,2104,46
,713,573,76,50,126,14
Lubbock ISD,187067,98486,19337,64389,82416,6165
,42811,14295,6456,21823,27473,1043
Lubbock-Cooper ISD,22352,16383,713,4696,5351,618
,6166,4174,164,1679,1807,185
Lueders-Avoca ISD,787,685,7,77,84,18
,158,142,3,13,16,0
Lufkin ISD,46482,24616,10564,10530,20873,993
,12381,4702,3197,4331,7410,269
Luling ISD,7583,3580,604,3394,3914,89
,1981,613,185,1230,1354,14
Lumberton ISD,19598,18170,111,981,1081,347
,5307,4770,55,386,436,101
Lyford Cons ISD,6335,588,55,5707,5722,25
,1976,127,33,1834,1840,9
Lytle ISD,6968,2123,102,4691,4760,85
,2074,430,42,1600,1625,19
Mabank ISD,19037,16859,342,1440,1771,407
,4389,3575,143,586,721,93
Madisonville Cons ISD,13498,7624,2967,2761,5668,206
,2981,1490,664,807,1434,57
Magnolia ISD,53729,41551,1340,9721,10976,1202
,15724,11011,448,3926,4338,375
Malakoff ISD,9490,7948,605,780,1377,165
,1709,1209,171,292,460,40
Malone ISD,542,405,52,91,136,1
,121,74,13,37,47,0
Malta ISD,667,610,9,33,42,15
,139,121,3,12,15,3
Manor ISD,35917,9558,8040,16281,23901,2458
,10930,1625,2646,6262,8685,620
Mansfield ISD,138523,73469,30462,24332,53986,11068
,44232,19652,11652,9723,20879,3701
Marathon ISD,535,319,1,210,210,6
,91,43,0,48,48,0
Marble Falls ISD,23406,17010,467,5573,5975,421
,5369,2938,211,2162,2334,97
Marfa ISD,2675,845,30,1780,1799,31
,578,100,19,460,472,6
Marion ISD,6986,4851,187,1815,1988,147
,1722,1000,65,642,697,25
Marlin ISD,9304,3630,3681,1981,5600,74
,1809,380,910,534,1411,18
Marshall ISD,33531,16835,11298,4984,16185,511
,8468,3226,2982,2167,5107,135
Mart ISD,3467,2318,744,370,1107,42
,1032,530,290,208,491,11
Martins Mill ISD,2129,1763,57,279,336,30
,610,464,18,119,137,9
Martinsville ISD,1181,969,72,133,197,15
,309,238,22,49,67,4
Mason ISD,4138,3192,28,883,907,39
,880,580,12,283,292,8
Matagorda ISD,1034,905,18,103,118,11
,144,107,4,34,37,0
Mathis ISD,8916,2290,109,6508,6582,44
,2382,301,37,2051,2071,10
Maud ISD,2252,2001,181,46,227,24
,597,524,49,20,69,4
May ISD,2149,1918,7,174,181,50
,393,317,3,64,67,9
Maypearl ISD,4608,3734,155,623,772,102
,1383,1053,55,249,300,30
McAllen ISD,119278,13409,1411,101614,102500,3369
,35857,2446,549,32207,32475,936
McCamey ISD,2247,910,55,1267,1305,32
,619,174,23,423,435,10
McDade ISD,1542,1079,33,419,436,27
,385,210,12,160,164,11
McGregor ISD,5949,3437,491,1977,2451,61
,1665,741,118,794,902,22
McKinney ISD,111014,72685,11664,21683,32851,5478
,34610,20192,4379,8437,12532,1886
McLean ISD,1177,1034,11,103,114,29
,271,218,8,41,49,4
McLeod ISD,855,805,34,6,40,10
,236,221,10,3,13,2
McMullen County ISD,707,432,8,261,269,6
,119,53,2,64,66,0
Meadow ISD,922,414,0,504,504,4
,264,106,0,156,156,2
Medina ISD,2101,1851,17,204,221,29
,437,324,12,94,106,7
Medina Valley ISD,19025,10263,356,8147,8453,309
,4822,2014,133,2618,2730,78
Melissa ISD,6344,5025,317,863,1163,156
,2053,1521,133,364,488,44
Memphis ISD,2862,1680,233,935,1159,23
,759,312,75,372,443,4
Menard ISD,2171,1372,14,774,783,16
,423,201,4,220,221,1
Mercedes ISD,20673,849,110,19739,19765,59
,7536,201,60,7305,7320,15
Meridian ISD,2597,1922,91,562,649,26
,638,368,32,237,265,5
Merkel ISD,6404,5299,127,874,992,113
,1569,1179,74,298,363,27
Mesquite ISD,167973,66957,37119,58149,94151,6865
,51483,12915,13940,23544,36812,1756
Mexia ISD,11516,5921,2916,2615,5480,115
,2915,992,863,1060,1896,27
Meyersville ISD,1194,1051,19,121,138,5
,265,215,5,43,48,2
Miami ISD,842,756,4,73,73,13
,212,183,3,27,27,2
Midland ISD,129658,67727,9931,49621,58807,3124
,35353,13651,3282,18083,20884,818
Midlothian ISD,32572,26077,1545,4277,5752,743
,9896,7307,578,1782,2315,274
Midway ISD (Clay),783,744,1,18,19,20
,138,128,0,4,4,6
Midway ISD (McLennan),40155,30505,3177,4784,7849,1801
,10254,6817,1146,1778,2855,582
Milano ISD,1762,1488,98,167,259,15
,423,304,43,78,116,3
Mildred ISD,2830,2455,115,203,316,59
,682,554,42,75,116,12
Miles ISD,1724,1202,10,491,501,21
,464,285,5,168,173,6
Milford ISD,1291,849,219,216,424,18
,352,195,78,81,151,6
Miller Grove ISD,1407,1188,10,183,193,26
,326,249,2,72,74,3
Millsap ISD,3946,3460,39,402,434,52
,875,693,22,155,174,8
Mineola ISD,9380,7350,607,1296,1896,134
,2158,1432,163,530,688,38
Mineral Wells ISD,19494,14234,708,4254,4921,339
,5242,3132,283,1776,2029,81
Mission Cons ISD,61472,5714,360,55272,55429,329
,20525,726,150,19663,19712,87
Monahans-Wickett-Pyote ISD,9697,4537,598,4529,5031,129
,2682,895,256,1570,1750,37
Montague ISD,584,531,7,37,44,9
,125,108,5,11,16,1
Monte Alto ISD,3380,260,10,3106,3111,9
,1269,71,7,1191,1194,4
Montgomery ISD,36499,31521,1260,2888,4100,878
,8741,7012,418,1085,1477,252
Moody ISD,4399,3462,192,699,883,54
,1088,782,52,248,294,12
Moran ISD,466,415,4,47,48,3
,92,74,3,16,16,2
Morgan ISD,968,719,4,231,234,15
,226,127,3,93,96,3
Morgan Mill ISD,930,866,3,48,51,13
,196,172,2,17,19,5
Morton ISD,2280,866,100,1301,1396,18
,690,167,23,498,519,4
Motley County ISD,1216,1018,24,163,187,11
,262,186,4,69,73,3
Moulton ISD,2146,1716,18,393,409,21
,450,311,1,135,135,4
Mount Calm ISD,771,608,46,107,152,11
,206,138,16,53,68,0
Mount Enterprise ISD,1765,1360,287,106,387,18
,349,251,50,48,95,3
Mount Pleasant ISD,24590,10499,2851,11018,13740,351
,7687,2085,873,4704,5506,96
Mount Vernon ISD,9127,7326,454,1175,1621,180
,2244,1537,164,490,651,56
Muenster ISD,2925,2766,6,101,107,52
,809,739,2,48,50,20
Muleshoe ISD,6864,2576,103,4160,4231,57
,2136,465,28,1641,1653,18
Mullin ISD,929,840,0,81,81,8
,223,187,0,35,35,1
Mumford ISD,206,89,42,73,115,2
,49,17,13,19,32,0
Munday Cons ISD,1870,1101,140,624,756,13
,494,194,59,242,296,4
Murchison ISD,855,738,11,103,114,3
,197,157,3,37,40,0
Nacogdoches ISD,46647,24916,10940,9780,20534,1197
,10521,3797,2781,3772,6469,255
Natalia ISD,5672,1933,92,3612,3661,78
,1516,336,43,1140,1155,25
Navarro ISD,6910,4160,192,2468,2614,136
,1956,1019,71,855,899,38
Navasota ISD,19324,10085,4052,5054,9039,200
,4345,1684,925,1733,2613,48
Nazareth ISD,738,662,3,70,73,3
,219,188,3,28,31,0
Neches ISD,1473,1252,126,81,207,14
,348,277,31,38,69,2
Nederland ISD,27029,21636,1252,2894,4081,1312
,6244,4427,471,987,1416,401
Needville ISD,13003,8175,655,4030,4645,183
,3586,1860,190,1502,1666,60
New Boston ISD,7597,5874,1286,286,1567,156
,1872,1300,418,124,539,33
New Braunfels ISD,44501,28273,877,14659,15393,835
,11591,6098,319,5023,5264,229
New Caney ISD,50152,32742,2192,13727,15773,1637
,13865,7317,702,5479,6102,446
New Deal ISD,3548,2396,58,1047,1099,53
,961,517,29,407,430,14
New Diana ISD,4304,3507,495,206,692,105
,1194,927,143,87,226,41
New Home ISD,794,518,1,272,273,3
,205,109,1,95,96,0
New Summerfield ISD,2011,760,184,1055,1229,22
,609,138,59,412,466,5
New Waverly ISD,4598,3379,783,362,1134,85
,1219,739,285,183,459,21
Newcastle ISD,1070,1007,10,43,53,10
,249,222,7,20,27,0
Newton ISD,7611,5117,2147,243,2381,113
,1810,1108,589,94,677,25
Nixon-Smiley Cons ISD,4957,2050,146,2753,2862,45
,1377,368,50,977,1000,9
Nocona ISD,4681,3907,43,667,699,75
,1127,817,27,268,289,21
Nordheim ISD,702,527,13,160,171,4
,128,88,3,39,40,0
Normangee ISD,3379,2995,171,154,322,62
,669,555,46,58,102,12
North East ISD,396404,182238,33740,165651,195752,18414
,100685,34364,11051,52350,61366,4955
North Hopkins ISD,2150,1700,59,358,416,34
,583,386,19,168,187,10
North Lamar ISD,16998,14677,913,774,1676,645
,4045,3216,314,322,627,202
North Zulch ISD,1809,1617,21,136,157,35
,439,366,12,50,62,11
