School District,Total,Anglo,Black,Hisp,B+H,Other
Northside ISD (Bexar),516301,168888,39950,284974,319556,27857
,139540,31867,12785,91433,101091,6582
Northside ISD (Wilbarger),259,215,1,40,41,3
,58,42,0,16,16,0
Northwest ISD,75737,58307,3870,10391,14029,3401
,23544,16669,1549,4311,5716,1159
Nueces Canyon Cons ISD,1932,1394,15,491,501,37
,368,200,6,159,162,6
Nursery ISD,1537,1128,46,358,398,11
,340,222,18,100,113,5
O'Donnell ISD,1277,576,27,662,680,21
,386,135,11,234,242,9
Oakwood ISD,1256,775,403,68,468,13
,244,147,70,25,94,3
Odem-Edroy ISD,4882,1463,35,3377,3392,27
,1457,331,15,1116,1119,7
Oglesby ISD,1149,952,17,157,172,25
,270,192,10,63,72,6
Olfen ISD,110,85,0,25,25,0
,28,15,0,13,13,0
Olney ISD,4260,3325,102,761,858,77
,1018,669,34,301,332,17
Olton ISD,3193,1250,58,1865,1916,27
,948,216,26,701,722,10
Onalaska ISD,7173,6562,209,282,488,123
,1296,1109,62,101,163,24
Orange Grove ISD,7286,3483,65,3684,3723,80
,2097,866,34,1196,1211,20
Orangefield ISD,7726,7067,77,340,414,245
,2031,1765,37,150,186,80
Ore City ISD,4627,3669,434,408,839,119
,1154,830,110,176,284,40
Overton ISD,3362,2418,579,326,897,47
,773,570,134,72,199,4
Paducah ISD,1488,1026,142,316,450,12
,350,195,46,113,152,3
Paint Creek ISD,424,377,4,41,44,3
,72,54,1,17,18,0
Paint Rock ISD,672,540,5,115,119,13
,124,74,2,43,45,5
Palacios ISD,6825,2643,272,3361,3580,602
,1903,412,109,1228,1295,196
Palestine ISD,20240,11620,4287,4068,8247,373
,5181,2114,1306,1736,2967,100
Palmer ISD,5385,3810,143,1349,1475,100
,1605,949,52,572,617,39
Palo Pinto ISD,1072,962,14,80,94,16
,168,142,0,26,26,0
Pampa ISD,20728,13945,1199,5238,6377,406
,5170,2841,274,1999,2234,95
Panhandle ISD,3465,3021,38,346,384,60
,965,805,19,122,141,19
Panther Creek Cons ISD,1162,1010,3,132,135,17
,217,159,1,50,51,7
Paradise ISD,4840,4270,37,450,481,89
,1303,1092,15,173,183,28
Paris ISD,22119,13915,5746,1797,7445,759
,5454,2685,1805,830,2581,188
Pasadena ISD,242299,53970,19572,159938,177644,10685
,76042,8419,6903,59126,65015,2608
Patton Springs ISD,363,275,12,78,83,5
,70,34,5,34,34,2
Pawnee ISD,602,303,0,295,295,4
,114,44,0,70,70,0
Pearland ISD,93060,49409,13632,20142,33336,10315
,27771,12618,4642,7496,11878,3275
Pearsall ISD,11901,1737,177,9674,9773,391
,3034,299,44,2692,2709,26
Peaster ISD,4438,3886,63,402,461,91
,1287,1039,35,190,224,24
Pecos-Barstow-Toyah ISD,13516,2643,708,10026,10706,167
,3056,305,62,2660,2715,36
Penelope ISD,626,496,25,98,122,8
,164,122,9,32,40,2
Perrin-Whitt Cons ISD,2133,1893,5,206,211,29
,545,440,4,95,99,6
Perryton ISD,10118,4983,67,4957,4990,145
,3210,1098,36,2053,2072,40
Petersburg ISD,1431,564,33,840,865,2
,390,109,17,271,281,0
Petrolia Cons ISD,3008,2726,33,176,205,77
,711,602,15,75,87,22
Pettus ISD,1766,1013,15,715,730,23
,476,190,5,276,281,5
Pewitt Cons ISD,5784,4327,1036,322,1341,116
,1314,916,245,134,368,30
Pflugerville ISD,116574,49407,19250,36066,54117,13050
,33598,10467,6964,13339,19579,3552
Pharr-San Juan-Alamo ISD,121205,7657,686,112522,112778,770
,41895,747,325,40876,40966,182
Pilot Point ISD,8041,5967,230,1682,1902,172
,2119,1330,66,683,746,43
Pine Tree ISD,24937,16925,3195,4218,7326,686
,6607,3474,1255,1743,2939,194
Pittsburg ISD,12784,7619,2317,2689,4958,207
,3435,1527,683,1183,1838,70
Plains ISD,2033,953,6,1057,1062,18
,648,257,6,382,387,4
Plainview ISD,28985,10378,1923,16499,18237,370
,8308,1748,515,6065,6468,92
Plano ISD,324108,189523,29820,46126,74811,59774
,80960,39386,8879,15672,24008,17566
Pleasant Grove ISD,11867,9838,1086,517,1574,455
,2965,2251,390,190,563,151
Pleasanton ISD,17159,7523,142,9307,9418,218
,4725,1523,52,3122,3158,44
Plemons-Stinnett-Phillips Cons ISD,2773,2324,57,316,373,76
,709,559,19,117,136,14
Point Isabel ISD,15752,6022,130,9458,9523,207
,3832,658,38,3126,3138,36
Ponder ISD,5417,4577,123,594,705,135
,1535,1190,59,249,297,48
Poolville ISD,2960,2609,15,282,297,54
,753,620,6,111,117,16
Port Aransas ISD,3585,3168,19,282,297,120
,580,460,8,85,92,28
Port Arthur ISD,52259,11333,22051,16278,37949,2977
,14131,1274,6137,6114,12054,803
Port Neches-Groves ISD,26407,21407,925,3003,3872,1128
,6303,4574,344,1119,1427,302
Post ISD,6246,2829,435,2973,3371,46
,1225,488,103,639,721,16
Poteet ISD,8485,2128,84,6209,6252,105
,2462,444,32,1987,2000,18
Poth ISD,3754,2243,27,1476,1496,15
,981,474,15,493,501,6
Pottsboro ISD,8302,7669,57,279,333,300
,1584,1376,28,95,122,86
Prairie Lea ISD,1311,759,67,448,515,37
,346,157,24,153,177,12
Prairie Valley ISD,695,643,3,38,41,11
,141,113,2,22,24,4
Prairiland ISD,5908,5443,123,255,375,90
,1375,1211,42,103,144,20
Premont ISD,3636,553,16,3064,3069,14
,961,111,8,845,848,2
Presidio ISD,5143,291,39,4741,4764,88
,1686,73,21,1563,1576,37
Priddy ISD,401,356,3,40,43,2
,89,67,3,19,22,0
Princeton ISD,14532,10065,638,3502,4088,379
,4256,2422,269,1500,1740,94
Pringle-Morse Cons ISD,407,288,1,113,114,5
,115,68,1,44,45,2
Progreso ISD,7545,377,26,7157,7161,7
,2783,70,10,2709,2710,3
Prosper ISD,15950,12002,1293,2031,3264,684
,5429,3856,508,826,1298,275
Quanah ISD,3169,2291,221,621,826,52
,772,432,76,263,327,13
Queen City ISD,5196,4242,797,102,893,61
,1200,929,214,44,256,15
Quinlan ISD,17561,15260,184,1598,1773,528
,3932,3062,75,670,740,130
Quitman ISD,7881,6878,312,588,886,117
,1620,1250,89,263,344,26
Rains ISD,10527,9208,286,810,1088,231
,2281,1802,76,339,413,66
Ralls ISD,2334,987,57,1287,1333,14
,694,201,18,483,491,2
Ramirez CSD,341,36,1,303,304,1
,75,8,1,66,67,0
Randolph Field ISD,1241,827,172,188,339,75
,516,323,79,99,164,29
Ranger ISD,3047,2417,103,469,563,67
,692,510,19,160,172,10
Rankin ISD,1108,701,19,377,391,16
,296,174,6,114,117,5
Raymondville ISD,13612,1314,457,11743,12128,170
,3273,237,57,2994,3016,20
Reagan County ISD,3367,1219,94,2051,2125,23
,1010,212,28,769,790,8
Red Lick ISD,2460,2236,87,88,175,49
,637,565,19,38,57,15
Red Oak ISD,25273,16346,3375,5120,8431,496
,7269,3897,1173,2074,3202,170
Redwater ISD,5044,4612,241,115,353,79
,1376,1238,72,49,118,20
Refugio ISD,3929,1670,405,1853,2224,35
,981,290,128,585,685,6
Ricardo ISD,3849,1061,42,2716,2728,60
,1121,213,23,879,886,22
Rice Cons ISD,6843,2903,1323,2656,3890,50
,1790,493,423,917,1289,8
Rice ISD,2938,1713,120,1094,1203,22
,945,436,34,478,504,5
Richards ISD,1576,1341,135,82,216,19
,336,276,26,31,57,3
Richardson ISD,215695,104563,41209,51666,91742,19390
,53919,18648,12719,18776,30928,4343
Richland Springs ISD,939,810,20,100,111,18
,212,158,16,42,50,4
Riesel ISD,2265,1859,132,240,372,34
,580,441,39,89,128,11
Rio Grande City Cons ISD,36386,1350,68,34875,34892,144
,12437,408,31,11978,11984,45
Rio Hondo ISD,9845,1209,65,8564,8580,56
,3164,217,38,2927,2934,13
Rio Vista ISD,4018,3525,28,403,431,62
,1017,828,13,155,168,21
Rising Star ISD,1398,1246,18,132,136,16
,308,244,14,61,62,2
River Road ISD,7025,5975,101,830,914,136
,1782,1382,57,317,364,36
Rivercrest ISD,3785,3261,159,297,455,69
,834,652,41,121,161,21
Riviera ISD,1582,728,5,839,841,13
,354,111,2,241,241,2
Robert Lee ISD,1628,1265,5,327,331,32
,313,217,2,90,91,5
Robinson ISD,10496,8412,500,1433,1916,168
,2700,1975,162,532,679,46
Robstown ISD,15441,945,238,14292,14436,60
,4558,181,102,4327,4368,9
Roby Cons ISD,1430,1052,35,345,373,5
,354,225,12,123,129,0
Rochelle ISD,893,792,2,89,90,11
,182,143,2,33,34,5
Rockdale ISD,9023,5832,919,2237,3087,104
,2468,1211,353,929,1233,24
Rocksprings ISD,1632,626,12,986,996,10
,370,93,5,273,277,0
Rockwall ISD,63239,47633,3805,9302,12928,2678
,18633,12607,1461,3809,5167,859
Rogers ISD,3901,3036,112,693,798,67
,1025,707,40,262,298,20
Roma ISD,23556,1003,17,22541,22545,8
,7998,356,7,7639,7640,2
Roosevelt ISD,5498,3339,228,1857,2071,88
,1458,684,70,686,748,26
Ropes ISD,1243,805,12,416,427,11
,337,207,3,125,128,2
Roscoe Collegiate ISD,1866,1125,47,682,720,21
,437,218,23,200,215,4
Rosebud-Lott ISD,4928,3387,582,904,1459,82
,1162,668,163,326,476,18
Rotan ISD,1954,1230,115,590,690,34
,433,224,36,171,198,11
Round Rock ISD,231886,135631,20168,50558,69167,27088
,65224,31929,7189,18306,24587,8708
Round Top-Carmine ISD,1817,1628,61,123,179,10
,288,232,15,41,53,3
Royal ISD,10372,3164,2277,4912,7088,120
,3049,468,714,1901,2560,21
Royse City ISD,20222,14120,1301,4292,5542,560
,6462,4008,476,1805,2252,202
Rule ISD,899,646,32,215,242,11
,176,104,12,61,70,2
Runge ISD,1326,507,30,789,813,6
,369,111,9,252,258,0
Rusk ISD,12208,8596,2095,1391,3460,152
,2781,1880,443,442,866,35
S and S Cons ISD,5042,4575,41,272,305,162
,1235,1042,19,124,139,54
Sabinal ISD,2645,1148,19,1452,1466,31
,681,196,12,462,470,15
Sabine ISD,6615,5114,601,841,1428,73
,1708,1162,164,378,533,13
Sabine Pass ISD,396,354,21,16,37,5
,66,59,1,6,7,0
Saint Jo ISD,1746,1556,10,142,144,46
,414,343,6,57,57,14
Salado ISD,7270,6064,89,976,1051,155
,1654,1220,28,370,386,48
Saltillo ISD,1193,947,56,162,218,28
,312,231,20,56,76,5
Sam Rayburn ISD,2466,2252,35,106,141,73
,597,526,18,37,55,16
San Angelo ISD,94460,51919,5086,35826,40216,2325
,21973,8729,1510,11654,12722,522
San Antonio ISD,307514,36673,28102,242597,267601,3240
,81103,3784,7115,71316,76808,511
San Augustine ISD,5607,3155,1964,431,2391,61
,1219,518,512,175,685,16
San Benito Cons ISD,42769,2962,216,39565,39634,173
,15101,432,101,14603,14630,39
San Diego ISD,6922,499,110,6304,6392,31
,1846,95,16,1741,1748,3
San Elizario ISD,13860,147,30,13651,13661,52
,5103,34,16,5051,5056,13
San Felipe-Del Rio Cons ISD,48272,8157,923,38996,39620,495
,14446,1432,305,12733,12886,128
San Isidro ISD,1026,96,3,921,921,9
,243,11,0,230,230,2
San Marcos Cons ISD,64257,32598,3533,26723,29791,1868
,11243,3197,822,7151,7735,311
San Perlita ISD,959,276,4,677,677,6
,261,38,3,221,221,2
San Saba ISD,4537,2779,184,1530,1710,48
,921,448,5,461,462,11
San Vicente ISD,219,158,0,58,58,3
,38,15,0,21,21,2
Sands Consolidated ISD,697,438,13,244,256,3
,211,124,11,76,86,1
Sanford-Fritch ISD,5111,4596,45,336,376,139
,1196,990,29,148,172,34
Sanger ISD,12908,10399,373,1906,2249,260
,3574,2559,160,790,929,86
Santa Anna ISD,1747,1345,66,321,380,22
,395,258,21,116,133,4
Santa Fe ISD,24183,20123,317,3338,3628,432
,6022,4663,130,1128,1244,115
Santa Gertrudis ISD,30,14,0,15,15,1
,7,5,0,2,2,0
Santa Maria ISD,2549,77,13,2462,2467,5
,954,16,9,936,938,0
Santa Rosa ISD,5235,214,20,4999,5000,21
,1755,32,14,1719,1719,4
Santo ISD,3201,2894,9,259,262,45
,686,577,7,96,98,11
Savoy ISD,1864,1711,41,66,102,51
,405,346,21,28,46,13
Schertz-Cibolo-Universal City ISD,58437,33954,6565,15717,21784,2699
,16787,8327,2236,5718,7658,802
Schleicher ISD,3461,1872,55,1536,1572,17
,1103,564,26,518,535,4
Schulenburg ISD,5168,3658,549,958,1473,37
,1190,643,195,367,538,9
Scurry-Rosser ISD,4214,3605,190,322,510,99
,1097,891,53,138,190,16
Seagraves ISD,2776,933,151,1684,1826,17
,857,212,53,589,638,7
Sealy ISD,13101,7629,1362,4018,5311,161
,3542,1568,442,1537,1934,40
Seguin ISD,42985,20600,2789,19373,21811,574
,10558,3451,812,6384,6981,126
Seminole ISD,14399,9491,185,4593,4734,174
,5148,3298,83,1728,1786,64
Seymour ISD,3798,3199,99,475,562,37
,786,575,36,180,208,3
Shallowater ISD,5445,3940,62,1404,1452,53
,1655,1046,30,574,596,13
Shamrock ISD,2437,1804,127,467,587,46
,580,325,51,202,249,6
Sharyland ISD,39935,6672,405,31621,31910,1353
,13311,1263,179,11481,11589,459
Shelbyville ISD,3536,2543,756,213,966,27
,829,540,197,90,286,3
Sheldon ISD,30401,6462,7203,16395,23337,602
,10617,1242,2571,6776,9203,172
Shepherd ISD,9172,6724,788,1513,2245,203
,2603,1718,212,646,835,50
Sherman ISD,41322,26869,4961,7957,12742,1711
,10281,5163,1607,3174,4680,438
Shiner ISD,3910,3335,279,275,534,41
,889,696,95,103,182,11
Sidney ISD,587,504,1,68,69,14
,130,98,0,27,27,5
Sierra Blanca ISD,613,150,19,433,450,13
,168,16,1,148,149,3
Silsbee ISD,16892,13574,2413,699,3104,214
,4352,3247,760,297,1052,53
Silverton ISD,1100,789,21,283,303,8
,243,135,8,97,104,4
Simms ISD,5689,3464,1246,897,2128,97
,720,663,10,19,29,28
Sinton ISD,9354,2690,198,6447,6598,66
,2636,493,71,2085,2127,16
Sivells Bend ISD,533,496,0,30,30,7
,97,84,0,12,12,1
Skidmore-Tynan ISD,2880,1189,41,1629,1659,32
,789,234,16,543,551,4
Slaton ISD,7743,3833,461,3425,3825,85
,2095,689,160,1271,1391,15
Slidell ISD,1915,1607,8,258,266,42
,466,358,3,96,99,9
Slocum ISD,2073,1910,57,79,132,31
,442,393,14,31,42,7
Smithville ISD,10748,8108,800,1643,2405,235
,2423,1560,250,595,817,46
Smyer ISD,1666,1077,38,530,563,26
,439,219,23,197,215,5
Snook ISD,2986,1896,607,462,1055,35
,733,387,194,151,336,10
Snyder ISD,15627,8778,891,5875,6689,160
,3921,1650,209,2082,2229,42
Socorro ISD,179766,13252,4985,160191,164040,2474
,60858,2948,1847,55960,57142,768
Somerset ISD,15053,3322,211,11440,11573,158
,4781,658,103,4044,4092,31
Somerville ISD,4008,2812,562,591,1138,58
,763,420,160,182,332,11
Sonora ISD,4128,1639,38,2459,2470,19
,1134,339,17,786,791,4
South San Antonio ISD,44855,3125,1144,40608,41419,311
,14109,519,423,13311,13541,49
Southland ISD,289,177,8,104,112,0
,68,36,2,30,32,0
Southside ISD,23246,4178,506,18453,18783,285
,7449,888,198,6403,6510,51
Southwest ISD,51570,6907,2336,41930,43844,819
,17099,1320,758,15066,15569,210
Spearman ISD,3791,2004,32,1716,1734,53
,1140,426,13,690,697,17
Splendora ISD,14315,11400,245,2449,2665,250
,4134,2953,86,1045,1119,62
Spring Branch ISD,172268,76953,8814,74646,82398,12917
,47024,15471,3001,25799,28330,3223
Spring Creek ISD,157,145,2,9,11,1
,44,40,1,3,4,0
Spring Hill ISD,8628,6821,844,713,1531,276
,2692,1955,371,284,637,100
Spring ISD,167108,43109,58442,57176,113742,10257
,51134,8122,20269,20991,40280,2732
Springlake-Earth ISD,1714,735,51,916,966,13
,529,154,26,345,370,5
Springtown ISD,18773,16390,155,1803,1929,454
,4865,3964,71,724,783,118
Spur ISD,2083,1317,95,630,718,48
,422,227,7,180,184,11
Spurger ISD,2188,2069,36,56,91,28
,520,475,9,26,35,10
Stafford MSD,17734,3976,5048,4623,9484,4274
,4400,548,1545,1543,2987,865
Stamford ISD,3429,2036,315,1062,1355,38
,823,332,118,380,484,7
Stanton ISD,3806,1913,89,1778,1849,44
,1123,447,39,632,663,13
Stephenville ISD,24507,19579,456,3988,4416,512
,5006,3377,99,1433,1522,107
Sterling City ISD,1143,733,22,365,386,24
,279,154,8,107,115,10
Stockdale ISD,4325,2839,61,1391,1440,46
,1095,583,24,482,498,14
Stratford ISD,2494,1368,11,1096,1104,22
,757,285,1,466,467,5
Strawn ISD,791,591,4,180,184,16
,205,130,2,69,71,4
Sudan ISD,1503,862,53,575,626,15
,454,195,25,231,255,4
Sulphur Bluff ISD,1164,1031,27,90,112,21
,263,215,12,32,40,8
Sulphur Springs ISD,23084,16829,2436,3449,5839,416
,5846,3600,753,1383,2111,135
Sundown ISD,1596,867,27,690,715,14
,506,216,16,272,287,3
Sunnyvale ISD,5131,3189,337,448,770,1172
,1358,696,123,150,264,398
Sunray ISD,2116,1138,8,928,935,43
,661,260,5,386,391,10
Sweeny ISD,10076,6952,1560,1442,2957,167
,2531,1531,450,519,947,53
Sweet Home ISD,781,702,24,56,77,2
,184,149,11,26,34,1
Sweetwater ISD,12696,7487,788,4348,5061,148
,3310,1466,313,1552,1810,34
Taft ISD,5120,1018,113,3981,4058,44
,1559,168,42,1357,1376,15
Tahoka ISD,3042,1427,114,1479,1584,31
,856,295,37,519,548,13
Tarkington ISD,8659,8030,141,379,520,109
,2385,2167,41,150,191,27
Tatum ISD,5881,3870,982,969,1928,83
,1454,804,239,396,624,26
Taylor ISD,16408,7864,1732,6714,8253,291
,4413,1445,596,2416,2879,89
Teague ISD,7220,4640,1249,1289,2520,60
,1576,933,243,402,636,7
Temple ISD,55204,29349,11023,13686,24152,1703
,13875,4951,3724,5150,8522,402
Tenaha ISD,2313,1357,527,414,922,34
,640,285,185,168,341,14
Terlingua CSD,780,507,7,247,251,22
,159,47,4,107,109,3
Terrell County ISD,984,495,9,467,475,14
,218,88,3,124,127,3
Terrell ISD,24885,13920,5068,5492,10468,497
,6399,2600,1461,2267,3677,122
Texarkana ISD,31638,15785,12869,2466,15161,692
,8144,2872,4267,914,5079,193
Texas City ISD,55040,22794,17666,14073,31268,978
,13996,3850,5320,4925,9927,219
Texhoma ISD,542,379,5,147,152,11
,157,102,3,47,50,5
Texline ISD,962,650,0,277,277,35
,298,165,0,119,119,14
Thorndale ISD,2971,2346,129,485,604,21
,750,517,43,189,228,5
Thrall ISD,3158,2408,96,631,722,28
,830,552,30,237,265,13
Three Rivers ISD,4269,2106,475,1642,2078,85
,830,377,11,443,449,4
Three Way ISD,555,429,0,112,112,14
,129,77,0,50,50,2
Throckmorton Collegiate ISD,1165,1049,3,95,98,18
,259,215,2,37,39,5
Tidehaven ISD,4070,2360,200,1476,1669,41
,1083,487,65,532,591,5
Timpson ISD,3906,2889,656,336,979,38
,1007,682,190,138,321,4
Tioga ISD,1288,1101,15,138,153,34
,306,234,10,55,65,7
Tolar ISD,2611,2449,8,109,117,45
,706,644,7,42,49,13
Tom Bean ISD,4245,3890,51,177,220,135
,1072,933,29,72,98,41
Tomball ISD,55556,39663,2901,9869,12627,3266
,15202,9556,986,3695,4602,1044
Tornillo ISD,3717,76,16,3637,3641,0
,1515,15,11,1497,1500,0
Trent ISD,736,637,11,76,87,12
,168,131,2,30,32,5
Trenton ISD,3122,2658,66,332,390,74
,837,664,22,129,144,29
Trinidad ISD,891,676,149,48,196,19
,205,131,47,21,67,7
Trinity ISD,8000,6102,993,783,1775,123
,1705,1070,297,311,608,27
Troup ISD,5001,3939,611,388,990,72
,1316,966,187,153,334,16
Troy ISD,5977,4648,150,1076,1214,115
,1581,1112,48,387,431,38
Tulia ISD,5817,2804,569,2404,2940,73
,1533,526,159,848,984,23
Tuloso-Midway ISD,12480,4757,294,7339,7547,176
,3706,989,122,2620,2689,28
Turkey-Quitaque ISD,1062,719,50,287,328,15
,243,126,12,104,110,7
Tyler ISD,118228,59925,28765,27372,55646,2657
,30139,10425,8231,11008,18970,744
Union Grove ISD,2873,2672,35,110,145,56
,753,665,20,49,69,19
Union Hill ISD,1945,1535,263,127,385,25
,436,311,63,62,123,2
United ISD,156720,6300,1011,148586,149042,1378
,56803,1591,392,54734,54863,349
Utopia ISD,1387,1222,5,140,145,20
,221,174,3,41,44,3
Uvalde Cons ISD,22957,5321,208,17264,17382,254
,6873,912,84,5836,5882,79
Valentine ISD,318,196,2,119,121,1
,47,18,0,29,29,0
Valley Mills ISD,3386,2840,101,413,508,38
,847,634,35,169,201,12
Valley View ISD (Cooke),3144,2727,12,339,351,66
,759,596,4,134,138,25
Valley View ISD (Hidalgo),14509,129,71,14349,14361,19
,5776,51,34,5715,5721,4
Van Alstyne ISD,7045,6174,206,508,709,162
,1842,1520,73,194,265,57
Van ISD,13592,11580,426,1360,1772,240
,3344,2585,138,575,707,52
Van Vleck ISD,4945,3314,766,818,1570,61
,1068,606,181,274,447,15
Vega ISD,1156,1017,15,105,119,20
,307,262,12,30,41,4
Venus ISD,9565,5397,547,3287,3811,357
,2605,1308,96,1120,1205,92
Veribest ISD,1150,819,0,315,315,16
,277,163,0,109,109,5
Vernon ISD,12955,8081,1177,3450,4570,304
,3347,1615,389,1317,1660,72
Victoria ISD,79038,37582,5820,34662,39969,1487
,20988,7094,1998,11819,13463,431
Vidor ISD,25473,23707,54,1189,1239,527
,6554,5912,25,458,482,160
Vysehrad ISD,751,670,43,37,80,1
,177,151,14,12,26,0
Waco ISD,102757,41585,24791,34953,58760,2412
,24756,4629,7595,12827,19836,291
Waelder ISD,2022,663,214,1142,1344,15
,471,84,54,344,386,1
Walcott ISD,143,100,0,41,41,2
,37,16,0,20,20,1
Wall ISD,4157,3141,26,940,964,52
,1157,849,18,278,294,14
Waller ISD,32127,16000,7236,8510,15611,516
,7837,3449,965,3331,4252,136
Walnut Bend ISD,162,125,5,18,23,14
,50,29,5,11,16,5
Walnut Springs ISD,1298,934,13,333,343,21
,324,189,8,126,132,3
Warren ISD,6113,5699,153,155,307,107
,1354,1224,51,54,105,25
Waskom ISD,4355,2879,805,631,1427,49
,1094,599,227,257,483,12
Water Valley ISD,1862,1492,91,267,347,23
,392,304,9,76,84,4
Waxahachie ISD,41200,26886,4480,9313,13609,705
,11379,6144,1487,3651,5011,224
Weatherford ISD,47217,39463,915,5781,6644,1110
,11569,8646,348,2298,2608,315
Webb Cons ISD,1323,82,12,1233,1236,5
,409,6,5,402,403,0
Weimar ISD,4500,3078,520,886,1373,49
,956,455,157,360,488,13
Wellington ISD,3008,1901,168,908,1039,68
,837,393,60,392,425,19
Wellman-Union Cons ISD,635,393,3,236,239,3
,171,85,1,84,85,1
Wells ISD,1863,1500,235,113,347,16
,495,379,74,39,112,4
Weslaco ISD,67702,6534,413,60467,60612,556
,22905,711,190,21984,22035,159
West Hardin County Cons ISD,3643,3504,5,85,90,49
,902,870,2,14,16,16
West ISD,7992,6926,214,761,969,97
,1991,1588,71,321,387,16
West Orange-Cove Cons ISD,17410,10042,5890,1163,7018,350
,3880,1577,1850,388,2224,79
West Oso ISD,9209,770,1046,7417,8358,81
,2605,137,291,2224,2445,23
West Rusk County Cons ISD,5689,4042,654,908,1555,92
,1479,925,179,354,530,24
West Sabine ISD,2711,2358,240,93,325,28
,726,606,83,37,114,6
Westbrook ISD,900,759,11,120,129,12
,197,148,6,39,44,5
Westhoff ISD,483,377,10,88,93,13
,72,41,5,26,26,5
Westphalia ISD,376,329,16,24,40,7
,72,55,9,6,15,2
Westwood ISD,14923,8169,3933,2644,6550,204
,2396,1388,476,480,943,65
Wharton ISD,13007,5113,3107,4757,7759,135
,3278,850,845,1617,2388,40
Wheeler ISD,2114,1295,13,782,795,24
,586,244,7,331,338,4
White Deer ISD,1648,1497,6,98,104,47
,382,326,4,37,41,15
White Oak ISD,6596,5954,265,276,532,110
,1878,1654,91,111,194,30
White Settlement ISD,31459,21410,2149,6772,8790,1259
,8703,5005,765,2702,3381,317
Whiteface Cons ISD,932,528,43,368,393,11
,254,112,19,134,141,1
Whitehouse ISD,24869,19928,2377,1721,4056,885
,7086,5246,842,715,1532,308
Whitesboro ISD,9466,8600,52,581,628,238
,2056,1729,30,234,262,65
Whitewright ISD,3657,3144,206,234,435,78
,907,742,64,82,141,24
Whitharral ISD,473,304,7,156,162,7
,128,73,5,49,53,2
Whitney ISD,9739,8508,281,839,1099,132
,2046,1589,128,323,439,18
Wichita Falls ISD,87802,56753,11204,16883,27449,3600
,21373,10839,3616,6416,9619,915
Wildorado ISD,349,291,7,47,54,4
,91,74,4,13,17,0
Willis ISD,36383,26363,2287,7099,9275,745
,9452,5524,846,2926,3709,219
Wills Point ISD,13716,11213,857,1351,2193,310
,3347,2442,244,575,811,94
Wilson ISD,889,484,5,394,397,8
,230,91,3,133,134,5
Wimberley ISD,13166,11367,67,1489,1547,252
,2611,1975,20,546,563,73
Windthorst ISD,1529,1235,4,265,269,25
,466,355,4,99,103,8
Wink-Loving ISD,1084,757,17,300,313,14
,315,193,9,113,119,3
Winnsboro ISD,8812,7669,253,751,1003,140
,1935,1555,67,278,344,36
Winona ISD,5635,4016,987,567,1545,74
,1360,839,285,227,511,10
Winters ISD,3461,2144,96,1222,1289,28
,863,368,38,470,489,6
Woden ISD,3064,2455,164,408,566,43
,885,613,82,178,257,15
Wolfe City ISD,3068,2542,255,212,462,64
,741,573,78,79,156,12
Woodsboro ISD,2757,1457,117,1162,1253,47
,650,278,40,336,360,12
Woodson ISD,508,436,9,57,64,8
,107,82,5,21,24,1
Woodville ISD,11180,7610,2234,1222,3440,130
,1921,1335,422,136,552,34
Wortham ISD,2125,1661,293,159,445,19
,549,387,95,65,156,6
Wylie ISD (Collin),56567,35393,6829,8995,15588,5586
,18520,10337,2784,3695,6334,1849
Wylie ISD (Taylor),17733,14821,592,1755,2260,652
,4814,3669,275,716,934,211
Yantis ISD,3396,2977,25,350,375,44
,537,392,7,130,137,8
Yoakum ISD,8697,5008,736,2948,3618,71
,2324,936,264,1144,1360,28
Yorktown ISD,3514,2312,80,1115,1178,24
,763,402,28,339,355,6
Ysleta ISD,193091,18800,5893,167843,172050,2241
,54421,2850,2074,49945,51076,495
Zapata County ISD,14018,861,26,13084,13097,60
,4805,113,10,4673,4677,15
Zavalla ISD,2975,2861,17,61,77,37
,615,575,8,24,31,9
Zephyr ISD,814,747,5,51,56,11
,184,156,3,20,23,5
